index,utt_transcript_clean,response_transcript_clean,is_cr
2221473,I told her.,"that told you, didn't it, Amy?",0
179209,pinks.,pink is next?,0
170347,Mommy watch this.,which one?,1
357315,I wanted to dunk it.,you wanna dunk what?,1
345962,uhhuh it has chocolate on the inside.,really?,0
173263,whoops Mom whoopsie.,what?,1
4236122,mine.,is yours going to have a mustache?,0
2186950,better eat it.,better eat it?,1
2190062,yes.,"you are tired, aren't you at the moment?",0
463729,but Isabelle lied down and just she slept in the hall.,she slept?,1
2158750,yes.,we'll have to take the train apart?,0
2155005,a girl.,is she a little girl or a big girl?,0
2166638,this has my name on it.,does it?,1
4238375,one.,and there's two of them two of them the same huh?,0
2170118,I'm making little mess in here.,pardon?,1
332639,I'll look at this book.,well which one would you like to read?,0
2183620,where the thingy gone?,what thingy?,1
511602,is this the tallest tree?,you checked the tape right?,0
2166290,I am.,are you?,1
2171230,yes.,pardon?,1
332902,Daisy's outside.,outside?,1
2126097,yes.,has it come off again?,0
2131592,I'm just going come in here.,what's that?,0
2134078,there.,let's see?,0
355540,yeah we need food.,we do?,1
4243576,sure.,does it fit in there?,0
512553,get that from the Easter bunnies.,you wanna read this one?,0
171656,there it is.,where's the triangle?,0
451005,yeah.,why is that?,0
2167268,look.,what's the matter?,0
566915,come here in the cave.,come in?,0
4240359,I'm hungry.,you're hungry?,1
515477,are you done spray.,I'm sorry what are you saying Honey?,1
4269239,they want to go into their barns.,in their barn?,1
4275706,I'm going to put them on.,you want earrings on this guy?,0
4276797,where do these pumpkins go?,the pum where do the pumpkins go?,1
564378,I think I need fork.,you think you need a fork?,1
4235889,no.,no?,1
333775,oh.,do you think so?,0
450617,I'm going to get some.,hm?,1
2180254,is this twenty one?,is what twenty one?,1
2205617,don't put it all in your mouth.,why not?,0
2147128,there is.,where?,1
2190651,look.,you got another one?,0
4237891,that one.,do you like that?,0
177794,shovel and pill.,what is this one?,0
2154012,I want that.,what are you doing?,0
570746,I'm very done.,you're very done with what?,1
2199700,what's that funny noise?,what did I just say?,0
559393,a piano.,a piano?,1
167098,"rabbit, chicks.","summer, it's a bumble bee, what does a bee say?",0
333779,oh yeah!,"yeah, what's your name?",0
326540,help.,what's wrong?,0
2200661,I've got to take the edges off.,have you?,1
2131526,they have to be over there.,"can you turn the tellie off, Lara?",0
174364,uhoh.,uhoh do you need my help again?,0
2181286,it's not ready yet.,do you think baby could have some some of these?,0
2205740,you.,you want me to pick the toys up?,1
166886,no.,how about your book of magnets?,0
4241680,yes.,where's the baby?,0
2165949,she has.,has she?,1
184502,yeah.,do you want would you like your tee ball?,0
2173057,can I do something on one of these?,you what?,1
2126886,can you let me have a little kettle?,"you wanna clean that, do you?",0
331969,and not that one.,not Frog and Toad?,1
336998,Mom!,yes?,0
336133,now it's all done to eat.,"great, you clean the poop off and now you can eat it?",0
2145180,what has he done?,what has he done?,1
2161236,"I need some help, mummy.",pardon?,1
4276509,how do we put this together?,where's the flat end of the fence?,0
564745,blue!,what is that?,0
4268507,mother could you help me?,how do you ask?,0
245461,who goes?,"one of those astronauts probably, huh?",0
